Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,Home,HalfResult,FinalResult,Point,FTGT,FTGC
2022-08-27,Arsenal,Fulham,2,1,H,0,0,D,J Gillett,22,11,8,3,6,12,9,2,2,3,0,0,2022-2023,Yes,Draw,Win,3,2,1
2022-08-31,Arsenal,Aston Villa,2,1,H,1,0,H,R Jones,22,4,9,3,10,14,10,3,2,3,0,0,2022-2023,Yes,Win,Win,3,2,1
2022-09-04,Man United,Arsenal,3,1,H,1,0,H,P Tierney,10,16,6,3,13,9,2,5,3,3,0,0,2022-2023,No,Lose,Lose,0,1,3
2022-09-18,Brentford,Arsenal,0,3,A,0,2,A,D Coote,5,13,2,7,10,10,3,3,0,2,0,0,2022-2023,No,Win,Win,3,3,0
2022-10-01,Arsenal,Tottenham,3,1,H,1,1,D,A Taylor,22,7,9,3,10,10,5,2,2,1,0,1,2022-2023,Yes,Draw,Win,3,3,1
2022-10-09,Arsenal,Liverpool,3,2,H,2,1,H,M Oliver,11,8,7,3,11,11,4,3,1,2,0,0,2022-2023,Yes,Win,Win,3,3,2
2022-10-16,Leeds,Arsenal,0,1,A,0,1,A,C Kavanagh,16,9,4,4,10,11,6,3,0,2,0,0,2022-2023,No,Win,Win,3,1,0
2022-10-23,Southampton,Arsenal,1,1,D,0,1,A,R Jones,10,12,3,3,11,8,9,4,2,1,0,0,2022-2023,No,Win,Draw,1,1,1
2022-10-30,Arsenal,Nott'm Forest,5,0,H,1,0,H,S Hooper,24,5,10,2,9,8,9,4,0,1,0,0,2022-2023,Yes,Win,Win,3,5,0
2022-11-06,Chelsea,Arsenal,0,1,A,0,0,D,M Oliver,5,14,1,2,20,13,4,6,5,2,0,0,2022-2023,No,Draw,Win,3,1,0
2022-11-12,Wolves,Arsenal,0,2,A,0,0,D,S Attwell,11,14,2,4,5,6,6,4,3,2,0,0,2022-2023,No,Draw,Win,3,2,0
